"","_id","bonusPointsEarned","bonusPointsEarnedReason","createDate","dateScanned","finishedDate","modifyDate","pointsAwardedDate","pointsEarned...9","purchaseDate","purchasedItemCount","barcode","description","finalPrice","itemPrice","needsFetchReview","partnerItemId","preventTargetGapPoints","quantityPurchased","userFlaggedBarcode","userFlaggedNewItem","userFlaggedPrice","userFlaggedQuantity","needsFetchReviewReason","pointsNotAwardedReason","pointsPayerId","rewardsGroup","rewardsProductPartnerId","userFlaggedDescription","originalMetaBriteBarcode","originalMetaBriteDescription","brandCode","competitorRewardsGroup","discountedItemPrice","originalReceiptItemText","itemNumber","originalMetaBriteQuantityPurchased","pointsEarned...38","targetPrice","competitiveProduct","originalFinalPrice","originalMetaBriteItemPrice","deleted","priceAfterCoupon","metabriteCampaignId","rewardsReceiptStatus","totalSpent","userId"
"1","5ff1e1eb0a720f0523000575",500,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 09:25:31,2021-01-03 09:25:31,2021-01-03 09:25:31,2021-01-03 09:25:36,2021-01-03 09:25:31,"500.0",2021-01-02 18:00:00,5,"4011","ITEM NOT FOUND","26.00","26.00",FALSE,"1",TRUE,5,"4011",TRUE,"26.00",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FINISHED","26.00","5ff1e1eacfcf6c399c274ae6"
"2","5ff1e1bb0a720f052300056b",150,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 09:24:43,2021-01-03 09:24:43,2021-01-03 09:24:43,2021-01-03 09:24:48,2021-01-03 09:24:43,"150.0",2021-01-02 09:24:43,2,"4011","ITEM NOT FOUND","1","1",NA,"1",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FINISHED","11.00","5ff1e194b6a9d73a3a9f1052"
"3","5ff1e1bb0a720f052300056b",150,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 09:24:43,2021-01-03 09:24:43,2021-01-03 09:24:43,2021-01-03 09:24:48,2021-01-03 09:24:43,"150.0",2021-01-02 09:24:43,2,"028400642255","DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ","10.00","10.00",TRUE,"2",TRUE,1,"028400642255",TRUE,"10.00",1,"USER_FLAGGED","Action not allowed for user and CPG","5332f5fbe4b03c9a25efd0ba","DORITOS SPICY SWEET CHILI SINGLE SERVE","5332f5fbe4b03c9a25efd0ba","DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FINISHED","11.00","5ff1e194b6a9d73a3a9f1052"
"4","5ff1e1f10a720f052300057a",5,"All-receipts receipt bonus",2021-01-03 09:25:37,2021-01-03 09:25:37,NA,2021-01-03 09:25:42,NA,"5",2021-01-02 18:00:00,1,NA,NA,NA,NA,FALSE,"1",TRUE,NA,"4011",TRUE,"26.00",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"REJECTED","10.00","5ff1e1f1cfcf6c399c274b0b"
"5","5ff1e1ee0a7214ada100056f",5,"All-receipts receipt bonus",2021-01-03 09:25:34,2021-01-03 09:25:34,2021-01-03 09:25:34,2021-01-03 09:25:39,2021-01-03 09:25:34,"5.0",2021-01-02 18:00:00,4,"4011","ITEM NOT FOUND","28.00","28.00",FALSE,"1",TRUE,4,"4011",TRUE,"28.00",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FINISHED","28.00","5ff1e1eacfcf6c399c274ae6"
"6","5ff1e1d20a7214ada1000561",5,"All-receipts receipt bonus",2021-01-03 09:25:06,2021-01-03 09:25:06,2021-01-03 09:25:11,2021-01-03 09:25:11,2021-01-03 09:25:06,"5.0",2021-01-02 09:25:06,2,"4011","ITEM NOT FOUND","1","1",NA,"1",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FINISHED","1.00","5ff1e194b6a9d73a3a9f1052"
"7","5ff1e1d20a7214ada1000561",5,"All-receipts receipt bonus",2021-01-03 09:25:06,2021-01-03 09:25:06,2021-01-03 09:25:11,2021-01-03 09:25:11,2021-01-03 09:25:06,"5.0",2021-01-02 09:25:06,2,"1234",NA,"2.56","2.56",TRUE,"2",TRUE,3,"1234",TRUE,"2.56",3,"USER_FLAGGED",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FINISHED","1.00","5ff1e194b6a9d73a3a9f1052"
"8","5ff1e1e40a7214ada1000566",750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 09:25:24,2021-01-03 09:25:24,2021-01-03 09:25:25,2021-01-03 09:25:30,2021-01-03 09:25:25,"750.0",2021-01-02 09:25:24,1,"4011","ITEM NOT FOUND","3.25","3.25",FALSE,"1",TRUE,1,"4011",NA,NA,NA,NA,"Action not allowed for user and CPG","5332f5fbe4b03c9a25efd0ba","DORITOS SPICY SWEET CHILI SINGLE SERVE","5332f5fbe4b03c9a25efd0ba",NA,"028400642255","DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FINISHED","3.25","5ff1e1e4cfcf6c399c274ac3"
"9","5ff1e1cd0a720f052300056f",5,"All-receipts receipt bonus",2021-01-03 09:25:01,2021-01-03 09:25:01,2021-01-03 09:25:02,2021-01-03 09:25:02,2021-01-03 09:25:02,"5.0",2021-01-03 09:25:01,1,NA,"MSSN TORTLLA","2.23","2.23",NA,"1009",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MISSION","TACO BELL TACO SHELLS","2.23","MSSN TORTLLA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FINISHED","2.23","5ff1e194b6a9d73a3a9f1052"
"10","5ff1e1a40a720f0523000569",500,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 09:24:20,2021-01-03 09:24:20,2021-01-03 09:24:21,2021-01-03 09:24:21,2021-01-03 09:24:21,"500.0",2020-12-26 18:00:00,1,"046000832517","Old El Paso Mild Chopped Green Chiles, 4.5 Oz","10.00","10.00",NA,"0",NA,1,NA,NA,NA,NA,NA,"Action not allowed for user and CPG","5332f5f3e4b03c9a25efd0ae","OLD EL PASO BEANS & PEPPERS","5332f5f3e4b03c9a25efd0ae",NA,NA,NA,"BRAND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FINISHED","10.00","5ff1e194b6a9d73a3a9f1052"
